t,T_local,T_network,alpha_t,F_t,tau_t,V_t,C_t,alpha_spread,temporal_dilation_delta_local,temporal_dilation_delta_network,F_spread
1,15.525731889108812,25.87621981518135,0.30371661470514794,0.010364471876384592,0.6988737739359008,163.57112571511746,1016.5,0.03481891590111036,1.3153539412192785,11.665841867291817,8.672461444250365e-05
2,19.866465603114584,33.11077600519097,0.3088719478073301,0.010627320460468881,0.7332923477135254,218.2735236774471,1033.8479553272166,0.003103440770777066,1.3796382193454235,14.62394862142181,9.662566232944772e-06
3,23.12415714443907,38.540261907398445,0.2923529707478142,0.010826394750965187,0.7484422061760282,263.6383741961259,1053.0739130712395,-0.0018936708598617513,1.411771098196862,16.827875861156237,-0.00014298742648419932
4,26.8173683930699,44.69561398844983,0.35114089966307893,0.011122468624668461,0.7715816456941867,320.2112290308582,1073.5424208703917,0.02299626455147108,2.2930955428136244,20.171341138193554,-0.00023232356548613317
5,30.193193462793182,50.3219891046553,0.39575057365074184,0.011469120491607818,0.787853857782483,379.46676987319654,1095.8082994376034,0.010213285624646684,2.7543848264385105,22.88318046830063,-0.0003310466779333672
6,33.256760405934486,55.427934009890805,0.36873845314149956,0.011790711952515806,0.8179596355525319,439.1196521761441,1119.857859815721,0.011733764340914388,3.2160604068166414,25.38723401077296,-0.00045518964724548285
7,35.36163117817761,58.936051963629346,0.28601530498593536,0.01196727590765076,0.8132083335480856,485.1011415482213,1146.316919500247,-0.03923285140960209,2.3321894296250605,25.906610215076796,-0.000749240036450903
8,35.86119059355227,59.768650989253786,0.29659243068255287,0.012583299463306906,0.8377416743226831,529.5945072375599,1173.611173948018,-0.0012716506288136809,1.5349713853830735,25.442431781084586,-0.0005975080540660035
9,37.956441162393155,63.26073527065525,0.3056573956334673,0.012830203739548244,0.8573578833970724,586.3738920755031,1204.0806765293246,0.036281589548601445,2.599327509481803,27.9036216177439,-0.0007717035093106877
10,38.72980687299592,64.54967812165987,0.3178815705093996,0.013547502834098347,0.8460213537447527,648.9727200179874,1236.8637443677912,0.02232614580798581,2.0040411651208387,27.823912413784782,-0.0005131915749874896
11,40.39982766128744,67.33304610214573,0.35910704027074125,0.013865336918516033,0.8669652453552489,712.4372021129572,1271.8522124960905,0.01994869928050419,2.7336640141994692,29.66688245505776,-0.0007573584341845352
12,41.194406972584,68.65734495430665,0.28964171735129257,0.014095340505217107,0.897780278762122,760.5241671409307,1309.7825262857148,-0.015604849726865488,2.562031662052256,30.02496964377491,-0.001043006894920942
13,40.85403693137362,68.09006155228936,0.3197014882619133,0.014938827301402743,0.9079559212308806,824.6519764102957,1351.1987049981647,0.0084580044119133,1.3898690170634467,28.625893637979182,-0.0007962286717243996
14,41.46748676796892,69.11247794661486,0.32264144746663975,0.015256656196819289,0.9395895094801016,883.8809593161546,1397.0974627775895,0.04144793153802401,2.2733377060297855,29.918328884675724,-0.0010678889327626253
15,41.26541760957869,68.77569601596448,0.3576941887868472,0.016256424143196696,0.933271844720814,971.0826509820508,1447.587848438796,0.06911541494100953,2.2509455443682285,29.761223950754022,-0.0006823012821239212
16,41.49025901097386,69.15043168495643,0.34364059782004186,0.016611554527439187,0.918079003687749,1035.8150272277862,1502.885122292232,0.013709281744702706,2.550323956013564,30.210496629996136,-0.0010409995344287729
17,39.51436204498492,65.85727007497486,0.3015076502338448,0.01757024728853314,0.9154978971103102,1083.3576394406664,1560.4109941293411,-0.01093881386338258,1.0009710367565035,27.343879066746446,-0.0008119926233820865
18,39.36975860342094,65.6162643390349,0.32509424466616654,0.017945592057594512,0.951680663329017,1146.9355130441493,1623.37351852992,0.06010165706472392,1.901404572243571,28.14791030785753,-0.001167467498464702
19,37.46743889003269,62.44573148338781,0.32897670532126905,0.019103175283707807,0.9782125681078113,1212.0733725532714,1693.4381612031118,0.019189245267836774,0.8476723405004023,25.825964933855523,-0.0009177893933367993
20,36.74040075726342,61.2340012621057,0.30715132690419233,0.01947071695080839,0.9885950530875647,1268.9206801068678,1773.8163052948735,0.0006972937174316018,1.1746284882044833,25.66822899304676,-0.0015020254697586458
21,34.147973728076714,56.913289546794516,0.2702041623346966,0.020621061200922185,0.9942705763182419,1310.2480281809503,1860.7051728492993,-0.06751952658164029,-0.7111112367353272,22.054204581982475,-0.0013700987527711928
22,31.759337915843656,52.93222985973942,0.30045821967513103,0.021921321933696003,1.0,1363.0949910883505,1957.8884376615222,0.03658041121955541,-1.5756754216228792,19.597216522272888,-0.0009735110448669294
23,30.649459005534887,51.08243167589147,0.4087411134393641,0.02255957309124093,1.0,1429.4341813115307,2067.3331696797322,-0.0053963883410390046,-1.497860617770776,18.935112052585808,-0.0016204396886571326
24,28.44007928638125,47.40013214396874,0.32030691061795263,0.024035800024110265,1.0,1494.4840541013352,2186.260461730341,0.03410281007803756,-2.2475093540173106,16.71254350357018,-0.001192742388248496
25,27.283504486712115,45.47250747785352,0.37857550376547505,0.024619520545937162,1.0,1558.5338712109449,2320.2591858402034,-0.004962724617473047,-2.0445999865001703,16.144403004641234,-0.001962787387325006
26,25.06927406277107,41.782123437951775,0.3731918876780839,0.026386784242229587,1.0,1631.2029827028111,2465.9245410193184,0.04994514555397611,-2.4735576567924475,14.239291718388259,-0.0015184006002101277
27,23.8344510873955,39.72408514565917,0.31951537004291697,0.026797314688694302,1.0,1680.9591062894683,2631.8474790141327,0.12706465109061346,-1.7515285422781055,14.138105515985561,-0.0021546501101716124
28,21.680141654115683,36.13356942352613,0.3973181316163012,0.028796492218210866,1.0,1755.3718391801294,2811.6899140389937,0.03363411737222538,-2.145777899880457,12.307649869529993,-0.001809335038741814
29,20.55831311322113,34.263855188701875,0.3194330972631336,0.029160720566402648,1.0,1809.3696704085414,3018.1552711995905,-0.3106481739501564,-0.5720593805476,13.133482694933146,-0.004628213139706176
30,18.559841154361997,30.933068590603327,0.42057403510847774,0.0314164440495133,1.0,1890.7000041551041,3242.5848065477303,-0.28952416174594636,0.24892759764011885,12.622155033881448,-0.006170891125414482
31,15.577139216119997,25.96189869353333,0.6828289889978485,0.035665120307358834,1.0,1945.7699948085158,3502.3545411320374,0.030859898043523293,-0.30256957711460863,10.082189900298722,-0.006057628954957234
32,13.048256211918138,21.747093686530228,0.6624022015039384,0.040394454108409236,1.0,2013.8986159969054,3820.8798761067087,0.05789320507939422,-0.7029181381035592,7.99591933650853,-0.005660321293587636
33,10.81738696708283,18.02897827847138,0.6071441821117443,0.04551657532256458,1.0,2075.0718898299933,4214.452885970008,0.050032730284978566,-1.0237744875706447,6.187816823817906,-0.005104474677501268
34,9.486249795717216,15.810416326195359,0.6540543891188291,0.048035477530396574,1.0,2143.3260533198736,4703.6129146505245,0.025891451102820873,-0.593261270330224,5.730905260147919,-0.008113675195282756
35,7.665726260139474,12.776210433565788,0.6563923660885277,0.05440698106216445,0.9989544628491769,2202.024622776197,5279.760660457639,0.022330045133624243,-0.7539988869752747,4.35648528645104,-0.007903653724640781
36,6.130790200683252,10.21798366780542,0.6657557181362176,0.06169156908936112,1.0,2273.6057315111975,6011.362038084557,0.1527424484980191,-0.82515396760469,3.2620394995174777,-0.006719821446732027
37,5.276862697079735,8.794771161799558,0.5878875184947482,0.06338196866443645,0.998874229521475,2326.8341143960765,6957.030447143379,0.01155944304598333,-0.4075832114004996,3.1103252533193233,-0.012198994792447446
38,4.1163960088268094,6.860660014711349,0.6193112525977681,0.07151497494099815,1.0,2378.6119104404124,8079.964449486481,0.03704958329457786,-0.448448379445626,2.2958156264389133,-0.012081233081606357
39,3.1360720508862805,5.226786751477134,0.6510815931382727,0.08092495822616973,1.0,2424.537272696647,9553.452510065892,0.060383617034420745,-0.4637799513319689,1.6269347492588841,-0.011493534029808572
40,2.334128096219582,3.890213493699303,0.7268101504173432,0.09235295569768845,1.0,2484.3471106176203,11524.890010562478,0.04397307651356963,-0.4557681944129537,1.1003172030667674,-0.010664017471134685
41,1.9772345766097295,3.2953909610162153,0.7207556452256489,0.09091739701625919,1.0,2559.674499747646,14239.00203480631,0.06663230150381516,-0.15675008368737497,1.1614063007191109,-0.02368584559284108
42,1.4425012447763144,2.4041687412938573,0.715864552114881,0.10357606452119486,1.0,2620.6512607331347,17540.16318764652,0.04147956195034874,-0.15319210323175292,0.80847539328579,-0.024004714248651082
43,1.034890506204488,1.7248175103408132,0.5888056137690711,0.11648751219440183,1.0,2672.977785104254,22172.852926438227,-0.07307118151312397,-0.14421765303185108,0.5457093511044742,-0.02552472817230987
44,0.7201626895322311,1.200271149220385,0.5979992357126284,0.13093062448201664,1.0,2711.738827861156,28759.147139353765,-0.03009447308396429,-0.12373105777571203,0.35637740191244194,-0.026584098095740666
45,0.48554665730034896,0.8092444288339149,0.6998189001721953,0.1484998275829501,0.9894870183412425,2765.969791304532,38361.05253039453,-0.019125426093352882,-0.10425722273294769,0.21944054880061825,-0.027456332859812943
46,0.32188188831636116,0.5364698138606019,0.5163486129943521,0.16556014862972646,1.0,2808.838446013623,52707.742171928934,-0.01380621258281789,-0.08220600977422904,0.13238191577001168,-0.02802237024488355
47,0.2035135933889781,0.33918932231496346,0.6943025616080609,0.18808549309440406,0.9947753782379627,2869.3082519512704,74959.81132312966,0.041532209713988966,-0.06366667675043461,0.07200905217555076,-0.027325918107564767
48,0.12320116559407739,0.20533527599012896,0.7568238595509353,0.2153238203786116,1.0,2936.4244007321595,110690.90314052837,0.0379515410868978,-0.047651976674856586,0.03448213372119499,-0.025345091833894606
49,0.12106705519802581,0.201778425330043,0.6115584415760065,0.14912202062184268,1.0,2997.581147075088,166036.35471079257,-0.016209618426980654,0.013586342866961448,0.09429771299897864,-0.11749612737913182
50,0.1,0.16666666666666666,0.6227014236165683,0.1336993370148719,1.0,3064.0349065709397,229173.53032424644,0.02542753872669057,0.0,0.06666666666666665,-0.06173147455631986
