alpha_ref,capital_max_growth,a4_soft_link_rho,replicate,final_F_t,final_U_n,final_TV,TV_trend,final_tau,final_gamma,final_T,final_C
10.0,0.3,0.1,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.3,0.1,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.3,0.2,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.3,0.2,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.3,0.3,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.3,0.3,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.5,0.1,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.5,0.1,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.5,0.2,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.5,0.2,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.5,0.3,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.5,0.3,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.7,0.1,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.7,0.1,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.7,0.2,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.7,0.2,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
10.0,0.7,0.3,0,0.041524467710944826,2.294321166375989,0.039173114318845764,-0.017709465371861674,0.8503236450479559,0.016074633440104177,16.281477876329205,2294.321166375987
10.0,0.7,0.3,1,0.03998095525355373,2.3126012882999523,0.04088044525104348,-0.02053905083107586,0.8222145781664366,0.013480363386346275,17.057597849340503,2312.6012882999503
15.0,0.3,0.1,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.3,0.1,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.3,0.2,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.3,0.2,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.3,0.3,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.3,0.3,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.5,0.1,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.5,0.1,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.5,0.2,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.5,0.2,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.5,0.3,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.5,0.3,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.7,0.1,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.7,0.1,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.7,0.2,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.7,0.2,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
15.0,0.7,0.3,0,0.03327303390501859,2.1464373622195176,0.05241443499722812,-0.01910807222380307,0.8498697032320324,0.016074633440104177,21.719083118913254,2146.4373622195185
15.0,0.7,0.3,1,0.03072605619601249,2.1628282269266004,0.057018521680720524,-0.021383022773780087,0.8217738596364277,0.013480363386346275,23.73247059617778,2162.8282269266015
20.0,0.3,0.1,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.3,0.1,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.3,0.2,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.3,0.2,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.3,0.3,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.3,0.3,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.5,0.1,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.5,0.1,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.5,0.2,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.5,0.2,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.5,0.3,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.5,0.3,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.7,0.1,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.7,0.1,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.7,0.2,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.7,0.2,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
20.0,0.7,0.3,0,0.02871685083687615,2.0567132627971207,0.0635057076819202,-0.02043674127987916,0.8495714970389519,0.016074633440104177,26.262831559231053,2056.713262797121
20.0,0.7,0.3,1,0.027864348749716338,2.0714574244395685,0.06575469276193734,-0.02270879177780112,0.8214835420844394,0.013480363386346275,27.324164564386237,2071.457424439569
